ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
'17869865980808953',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17869865980808953,@clear.haircare  #KEEPACLEARHAIR,287871,0,287871,-,-,-,-,-
'17850612056140619',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17850612056140619,@clear.haircare  #KEEPACLEARHEAD,315743,0,315743,-,-,-,-,-
'17866168756892535',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17866168756892535,,45559,0,45559,-,-,-,-,-
'17851584167084213',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17851584167084213,,41653,0,41653,-,-,-,-,-
'17853180050088178',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17853180050088178,@CLEAR.HAIRCARE  #KEEPACLEARHEAD,367115,0,367115,-,-,-,-,-
'17924136724408084',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17924136724408084,"#KeepAClearHead
 @clear.haircare",257283,0,257283,-,-,-,-,-
'17858278739003547',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17858278739003547,#KeepAClearHead @clear.haircare,262480,0,262480,-,-,-,-,-
'17897716708507079',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17897716708507079,#KeepAClearHead @clear.haircare,274989,0,274989,-,-,-,-,-
'17873177677740068',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17873177677740068,#KeepAClearHead @clear.haircare,445183,0,445183,-,-,-,-,-
'17863386103868365',cristiano,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17863386103868365,,7895546,0,7895546,-,-,-,-,-
