ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'17851628288038577',annasedokova,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=809819392381976&bc_auto_shown_tagged_post_id=17851628288038577,"Дорогие мои, ну как вы на самоизоляции?

Хочу напомнить вам, что эти непростые обстоятельства можно использовать с пользой для себя, своего внутреннего роста. Надеюсь, вы принимаете активное участие в проекте @clear_ru «Путь к стойкости», о котором я рассказывала в начале мая. Сегодня 11-й день 14-дневного пути к стойкости. Он посвящен преобразованию образа наших мыслей из негативных в позитивные. 💆🏼‍♀️ Поставьте негативные установки под сомнение и посмотрите на них с другой стороны. Это поможет противостоять неблагоприятному состоянию и не поддаваться стрессу и беспокойствам.

Запишите три вещи, которые сильней всего заставляют вас чувствовать тревогу и беспокойство. Смело бросайте им вызов!💪🏼💪🏼💪🏼 Погрузитесь в эти мысли и постарайтесь переформулировать их в позитивные. Ощутить комфорт гораздо проще, чем кажется на первый взгляд.

Больше деталей об упражнении смотрите по ссылочке: https://youtu.be/LczNsbmzgkY или на странице @clear_ru 
#СтаньСильнее #Clear #ClearRussia #Стойкость #ментальноездоровье #останьсядома",1062637,433556,626469,7381,118,-,-,84
'17864744212777259',annasedokova,Video,https://facebook.com/collabsmanager/brand/insights?page_id=809819392381976&bc_auto_shown_tagged_post_id=17864744212777259,"Дорогие мои, все мы сейчас переживаем непростые времена 🙌  Я знаю, что сложно думать о хорошем, когда неизвестно, что нас ждет завтра, через неделю, через полгода… Каждый день мы читаем тревожные новости, переживаем за себя, за друзей и близких. Я и сама через это прохожу. 
Но также я уверена, что очень важно не зацикливаться на негативе, а стараться извлечь пользу даже из такой тяжелой ситуации! С 1 мая стартует 14-дневный проект «Путь к стойкости» от @clear_ru @clear.haircare, который поможет нам всем не просто справиться с негативом, но стать сильнее, лучше, узнать о себе что-то новое 💪 
Обязательно присоединяйтесь и делитесь своими успехами.
#станьсильнее
#Clear #ClearRussia #стойкость #resilience
#ментальноездоровье #mentalhealthmatters
#останьсядома #stayhomestaystrong",1074534,675196,421093,6276,127,-,-,576
