ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'18130956634062766',bensusoral,Video,https://facebook.com/collabsmanager/brand/insights?page_id=138354229593892&bc_auto_shown_tagged_post_id=18130956634062766,Vee reklam filmimiz yayında♥️😎 Her adımımda kusursuz görünmek için Clear bana yeter! #GösterKendini @clearturkiye,8489941,6996303,2040366,97511,714,-,-,3958
'17861185471674552',bensusoral,Video,https://facebook.com/collabsmanager/brand/insights?page_id=138354229593892&bc_auto_shown_tagged_post_id=17861185471674552,"Beni saçlarımdan tanıdınız mı? 😊
Tanıdıysanız anlamışsınızdır ki Clear'la birlikte çok heyecanlı bir serüvenin bugün ilk adımını atıyoruz! Artık her adımımda Clear yanımda. #GösterKendini @clearturkiye !",7731294,6045395,2159562,90478,768,-,-,2620
'17855168038772682',busratap,Video,https://facebook.com/collabsmanager/brand/insights?page_id=138354229593892&bc_auto_shown_tagged_post_id=17855168038772682,,21,0,21,0,0,-,-,0
